date,open_btc,high_btc,low_btc,close_btc,volume_btc,%var_btc,open_sp,high_sp,low_sp,close_sp,volume_sp,%var_sp,close_gd,open_gd,high_gd,low_gd,volume_gd,%var_gd
2011-04-06,0.76103243,0.84243621,0.6952901,0.73610838,8661,-3.28,1335.94,1339.38,1331.09,1335.54,4223740000,-0.03,1.4585,1.4582,1.4637,1.4525,13198000,0.41
2011-04-07,0.73606753,0.83193869,0.60784259,0.75190731,10861,2.15,1334.82,1338.8,1326.56,1333.51,4005600000,-0.1,1.4593,1.4601,1.4665,1.4537,10929000,0.05
2011-04-08,0.75202048,0.84253377,0.67481897,0.75028853,18148,-0.23,1336.16,1339.46,1322.94,1328.17,3582810000,-0.6,1.4741,1.4598,1.4764,1.4577,12369000,1.01
2011-04-11,0.76177672,0.80195625,0.62793383,0.76721082,14598,0.71,1329.01,1333.77,1321.06,1324.46,3478970000,-0.34,1.4681,1.4763,1.478,1.4602,11066000,-0.41
2011-04-12,0.76724387,0.86798052,0.71591526,0.82233028,48342,7.18,1321.96,1321.96,1309.51,1314.16,4275490000,-0.59,1.4536,1.4652,1.4685,1.445,18645000,-0.99
2011-04-13,0.82264364,1.16134433,0.82264364,0.92071625,43254,11.92,1314.03,1321.35,1309.19,1314.41,3850860000,0.03,1.4556,1.454,1.4637,1.452,12124000,0.14
2011-04-14,0.92180482,1.24110139,0.92045911,0.9929894,31069,7.72,1311.13,1316.79,1302.42,1314.52,3872630000,0.26,1.4724,1.4581,1.4767,1.4532,16679000,1.15
2011-04-15,0.99428932,1.12751323,0.9522451,0.9802467,50433,-1.41,1314.54,1322.88,1313.68,1319.68,4223740000,0.39,1.486,1.4766,1.4891,1.4722,16062000,0.92
2011-04-18,1.10921441,1.23346411,0.93417919,1.13494424,27558,2.32,1313.35,1313.35,1294.7,1305.14,4223740000,-0.63,1.4929,1.488,1.4986,1.4778,19912000,0.46
2011-04-19,1.13817646,1.30566381,1.04740791,1.19988679,12517,5.42,1305.99,1312.7,1303.97,1312.62,3886300000,0.51,1.4951,1.4966,1.5005,1.4882,13169000,0.15
2011-04-20,1.19994596,1.29255755,1.10227673,1.17038663,21382,-2.46,1319.12,1332.66,1319.12,1330.36,4236280000,0.85,1.4989,1.4961,1.5065,1.4938,14787000,0.25
2011-04-21,1.17503007,1.53896202,1.14149685,1.20755522,39403,2.77,1333.23,1337.49,1332.83,1337.38,3587240000,0.31,1.5038,1.502,1.5096,1.5004,12727000,0.33
2011-04-25,1.63315718,1.71198212,1.37514268,1.56578672,13451,-4.13,1337.14,1337.55,1331.47,1335.25,2142130000,-0.14,1.5091,1.5107,1.5192,1.5022,12369000,0.35
2011-04-26,1.56645258,2.0913042,1.56645258,1.76812596,24017,12.87,1336.75,1349.55,1336.75,1347.24,3908060000,0.78,1.5035,1.5072,1.5085,1.492,14562000,-0.37
2011-04-27,1.76608635,1.87108873,1.50769822,1.80593344,32980,2.26,1348.43,1357.49,1344.25,1355.66,4051570000,0.54,1.5171,1.5069,1.5307,1.5033,17004000,0.9
2011-04-28,1.80656316,2.32116785,1.72164205,2.14826056,100104,18.91,1353.86,1361.71,1353.6,1360.48,4036820000,0.49,1.5312,1.5278,1.5388,1.5239,18354000,0.93
2011-04-29,2.1483243,3.40887871,2.1483243,2.82050043,57562,31.29,1360.14,1364.56,1358.69,1363.61,3479070000,0.26,1.5564,1.5353,1.5698,1.5321,15718000,1.65
2011-05-02,3.60135807,3.96396738,3.41020722,3.58948389,18389,-0.33,1365.21,1370.58,1358.59,1361.22,3846250000,-0.29,1.5571,1.5668,1.5774,1.5403,21166000,0.04
2011-05-03,3.57914073,3.73353713,2.87258162,3.43386439,16855,-4.06,1359.76,1360.84,1349.52,1356.62,4223740000,-0.23,1.5404,1.5452,1.5514,1.5162,20673000,-1.07
2011-05-04,3.43358837,3.64929877,2.79198126,3.507716,17249,2.16,1355.9,1355.9,1341.5,1347.32,4223740000,-0.63,1.5153,1.5377,1.5435,1.5055,24222000,-1.63
2011-05-05,3.50772212,4.11198915,3.31249409,3.43227823,15386,-2.15,1344.16,1348.0,1329.17,1335.1,3846250000,-0.67,1.4814,1.517,1.5221,1.4625,33405000,-2.24
2011-05-06,3.42978791,3.69374542,3.08308,3.51824842,23033,2.58,1340.24,1354.36,1335.58,1340.2,4223740000,-0.0,1.4916,1.4759,1.4985,1.4711,26480000,0.69
2011-05-09,3.81669282,4.25344694,3.18238623,3.81814402,11579,0.04,1340.2,1349.44,1338.64,1346.29,4265250000,0.45,1.5032,1.4966,1.5139,1.489,15391000,0.78
2011-05-10,3.81913639,5.72501901,3.81913639,5.30615292,56284,38.94,1348.34,1359.44,1348.34,1357.16,4223740000,0.65,1.5169,1.5125,1.52,1.5052,14935000,0.91
